filetimestamp,postime,icao,reg,type,wtc,spd,altt,alt,galt,talt,lat,lon,vsit,vsi,trkh,ttrk,trak,sqk,call,gnd,trt,pos,mlat,tisb,sat,opicao,cou,mil,interested,dst,from,to,NNUMBER,SERIAL NUMBER,YEAR MFR,NAME,STREET,STREET2,CITY,STATE,ZIP CODE,REGION,COUNTRY,trace_url
2020-07-20 20:26:13,1595301969426,A4B58E,N402RH,RV10,1,131.2,0,3675,3634,,45.41101,-122.612379,0,576,0,,3.1,0153,N402RH,0,5,1,0,0,0,,United States,0,0,6.23,,,,40204                         ,2008,HICKMAN ROBERT J                                  ,24172 S SKYLANE DR               ,                                 ,CANBY             ,OR,970139730 ,S,US,https://tar1090.adsbexchange.com/?icao=A4B58E&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 20:26:13,1595301968974,A62201,N4945F,R44,1,114.5,0,1400,1359,,45.361633,-122.673798,1,-320,0,,146,1200,N4945F,0,5,1,0,0,0,,United States,0,0,8.61,,,,10015                         ,2002,EMERALD CITY AIRCRAFT LEASING INC                 ,PO BOX 1674                      ,                                 ,PORT ORCHARD      ,WA,983660175 ,S,US,https://tar1090.adsbexchange.com/?icao=A62201&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 20:26:13,1595301968218,A88467,N648QX,E75L,2,124.9,0,550,510,4000,45.569916,-122.556845,0,-640,0,,299.2,4624,QXE2551,0,5,1,0,0,0,QXE,United States,0,0,6.31,,,,17000789                      ,2019,HORIZON AIR INDUSTRIES INC                        ,19300 INTERNATIONAL BLVD         ,C/O LEGAL SEAZL                  ,SEATTLE           ,WA,98188     ,S,US,https://tar1090.adsbexchange.com/?icao=A88467&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 21:00:01,1595303997331,A96518,N704TE,S22T,1,116.8,0,1125,1085,3008,45.595413,-122.610972,0,704,0,,234.4,4751,N704TE,0,5,1,0,0,0,,United States,0,0,6.05,,,,1027                          ,2015,DMK GOLF DESIGN INC                               ,2755 NW CROSSING DR STE 225      ,                                 ,BEND              ,OR,977037050 ,S,US,https://tar1090.adsbexchange.com/?icao=A96518&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 21:00:01,1595303997332,ACB1E2,N917NK,A20N,2,361,0,11225,11185,22016,45.526978,-122.741416,0,1152,0,,137.5,6634,NKS261,0,5,1,0,0,0,NKS,United States,0,0,3.09,KPDX Portland United States,KLAS McCarran Las Vegas United States,,9179                          ,2019,BANK OF UTAH TRUSTEE                              ,50 S 200 E STE 110               ,                                 ,SALT LAKE CITY    ,UT,841111617 ,S,US,https://tar1090.adsbexchange.com/?icao=ACB1E2&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 21:20:01,1595305199276,A22642,N238AK,B739,2,167,0,1300,1260,6016,45.602619,-122.619713,0,1600,0,279.8,293.6,3527,ASA167,0,5,1,0,0,0,ASA,United States,0,0,6.3,PANC Ted Stevens Anchorage United States,PAFA Fairbanks United States,,62681                         ,2016,ALASKA AIRLINES INC                               ,C/O LEGAL DEPARTMENT - SEAZL     ,19300 INTERNATIONAL BLVD         ,SEATTLE           ,WA,98188     ,S,US,https://tar1090.adsbexchange.com/?icao=A22642&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 21:20:01,1595305198518,AB4825,N826LF,EC35,1,112.3,0,1125,1075,,45.625476,-122.78849,1,0,0,,351.3,0301,N826LF,0,5,1,0,0,0,,United States,0,0,8.65,,,,0718                          ,2008,INHS LEASING CO LLC                               ,PO BOX 469                       ,                                 ,SPOKANE           ,WA,992100469 ,S,US,https://tar1090.adsbexchange.com/?icao=AB4825&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 21:20:01,1595305200185,0D0932,XA-VLL,A320,2,134.2,0,400,360,4192,45.576177,-122.547821,0,-704,0,,298.5,7327,VOI938,0,5,1,0,0,0,VOI,Mexico,0,0,6.84,MMGL Don Miguel Hidalgo Y Costilla Guadalajara Mexico,KPDX Portland United States,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=0D0932&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 21:40:01,1595306396319,ABCF10,N860CG,BE55,1,143.4,0,3050,3009,,45.510864,-122.64352,1,-384,0,,188,4724,N860CG,0,5,1,0,0,0,,United States,0,0,1.37,,,,TC-1957                       ,1976,LEADING EDGE AVIATION INC                         ,63048 POWELL BUTTE HWY           ,                                 ,BEND              ,OR,977019739 ,S,US,https://tar1090.adsbexchange.com/?icao=ABCF10&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 22:00:01,1595307600921,A68B85,N52013,C172,1,115.2,0,4100,4071,,45.402466,-122.717351,1,0,0,,239.2,0161,N52013,0,5,1,0,0,0,,United States,0,0,6.41,,,,17274394                      ,1980,HILLSBORO AERO ACADEMY LLC                        ,3565 NE CORNELL RD               ,                                 ,HILLSBORO         ,OR,971246374 ,S,US,https://tar1090.adsbexchange.com/?icao=A68B85&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 22:20:01,1595308799185,AB0D76,N811DZ,B739,2,140.2,0,350,340,4192,45.576645,-122.549074,0,-640,0,282.7,299.5,2251,DAL1299,0,5,1,0,0,0,DAL,United States,0,0,6.81,KMSP Minneapolis-St Paul InternationalWold-Chamberlain Minneapolis United States,KMSP Minneapolis-St Paul InternationalWold-Chamberlain Minneapolis United States,,31916                         ,2013,DELTA AIR LINES INC                               ,DEPT 595 AIRCRAFT REGISTRATIONS  ,1775 MH JACKSON SERVICE RD       ,ATLANTA           ,GA,30354     ,7,US,https://tar1090.adsbexchange.com/?icao=AB0D76&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 23:20:01,1595312396819,0D0932,XA-VLL,A320,2,377.5,0,13125,13115,35008,45.387634,-122.528425,0,1664,0,135.7,152.2,3536,VOI939,0,5,1,0,0,0,VOI,Mexico,0,0,9.37,KPDX Portland United States,MMGL Don Miguel Hidalgo Y Costilla Guadalajara Mexico,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=0D0932&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 23:20:01,1595312396819,A13C43,N179SY,E170,2,109.7,0,1350,1340,1504,45.547082,-122.498314,0,-384,0,,298.9,4722,SKW3448,0,5,1,0,0,0,SKW,United States,0,0,7.84,,,,17000565                      ,2016,SKYWEST AIRLINES INC                              ,444 S RIVER RD                   ,                                 ,SAINT GEORGE      ,UT,847902085 ,S,US,https://tar1090.adsbexchange.com/?icao=A13C43&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-20 23:40:01,1595313599073,A6D485,N5392L,P28A,1,116.1,0,1400,1380,,45.648892,-122.627197,0,-576,0,,169.1,0175,N5392L,0,5,1,0,0,0,,United States,0,0,8.86,,,,28-4701                       ,1968,YABLON BRIAN M                                    ,7463 SW SAINT JOHN PL            ,                                 ,PORTLAND          ,OR,972234503 ,S,US,https://tar1090.adsbexchange.com/?icao=A6D485&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-21 00:20:01,1595315995077,AAF927,N806LF,AS50,1,142,0,1725,1716,,45.423757,-122.794297,0,13,0,,171,7024,N806LF,0,3,1,1,0,0,,United States,0,0,7,,,,1133                          ,2013,INHS LEASING CO LLC                               ,601 W 1ST AVE                    ,                                 ,SPOKANE           ,WA,992013825 ,S,US,https://tar1090.adsbexchange.com/?icao=AAF927&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-21 01:40:01,1595320800487,A85506,N636LF,A119,1,99,0,1500,1500,,45.506954,-122.704557,0,192,0,,261.9,0320,N636LF,0,5,1,0,0,0,,United States,0,0,1.25,,,,14817                         ,2014,BANK OF UTAH TRUSTEE                              ,50 S 200 E STE 110               ,                                 ,SALT LAKE CITY    ,UT,841111617 ,S,US,https://tar1090.adsbexchange.com/?icao=A85506&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-21
2020-07-22 23:00:01,1595483998157,A63954,N50TV,B06,1,99.2,0,1700,1650,,45.527481,-122.823225,1,64,0,,111.9,0325,N50TV,0,5,1,0,0,0,,United States,0,0,6.37,,,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=A63954&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-22 23:00:01,1595483999205,A1801C,N196SY,E75L,2,179,0,1850,1790,4000,45.565521,-122.463126,0,-832,0,,263.9,4705,SKW3448,0,5,1,0,0,0,SKW,United States,0,0,9.61,,,,17000706                      ,2018,SKYWEST AIRLINES INC                              ,444 S RIVER RD                   ,                                 ,ST GEORGE         ,UT,847902085 ,S,US,https://tar1090.adsbexchange.com/?icao=A1801C&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-22 23:00:01,1595484000111,A8D0B4,N66709,C150,1,72.1,0,1900,1850,,45.453,-122.60635,1,-512,0,,16.9,6646,N66709,0,5,1,0,0,0,,United States,0,0,4.26,,,,15076226                      ,1974,RUSSNOGLE RICHARD R                               ,5360 NW SCENIC DR                ,                                 ,ALBANY            ,OR,973219375 ,S,US,https://tar1090.adsbexchange.com/?icao=A8D0B4&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-22 23:00:01,1595483999360,A4F670,N419K,B350,2,172.8,0,8050,8010,8000,45.534073,-122.738473,1,-64,0,353,214.1,7027,N419K,0,5,1,0,0,0,,United States,0,0,3.18,,,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=A4F670&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-22 23:30:01,1595485797036,A8D0B4,N66709,C150,1,83.7,0,3000,2950,,45.40979,-122.658168,1,0,0,,209.3,4656,N66709,0,5,1,0,0,0,,United States,0,0,5.76,,,,15076226                      ,1974,RUSSNOGLE RICHARD R                               ,5360 NW SCENIC DR                ,                                 ,ALBANY            ,OR,973219375 ,S,US,https://tar1090.adsbexchange.com/?icao=A8D0B4&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-22 23:30:01,1595485797494,A63954,N50TV,B06,1,2.3,0,1600,1550,,45.517548,-122.681056,1,128,0,,153.4,0325,N50TV,0,5,1,0,0,0,,United States,0,0,0.79,,,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=A63954&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-23 00:00:01,1595487599367,A63954,N50TV,B06,1,4.3,0,1300,1271,,45.515287,-122.6789,1,-192,0,,45,0325,N50TV,0,5,1,0,0,0,,United States,0,0,0.63,,,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=A63954&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-23 00:30:01,1595489397523,A4F670,,,0,150.1,0,425,405,,45.595915,-122.598289,0,1728,0,,302.2,0235,,0,2,1,0,0,0,,United States,0,0,6.33,,,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=A4F670&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-23 01:00:01,1595491197415,A4F670,N419K,B350,2,183.2,0,11525,11515,11488,45.543686,-122.663923,1,64,0,33.8,280.7,0235,O19,0,5,1,0,0,0,,United States,0,0,2.36,,,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=A4F670&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-23 01:30:01,1595492997096,AB9723,N846LF,EC35,1,56,0,900,891,,45.496628,-122.675432,1,-256,0,,288.8,0311,N846LF,0,5,1,0,0,0,,United States,0,0,0.51,,,,0315                          ,2003,INHS LEASING CO LLC                               ,PO BOX 469                       ,                                 ,SPOKANE           ,WA,992100469 ,S,US,https://tar1090.adsbexchange.com/?icao=AB9723&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-23 02:00:01,1595494797496,AB9723,N846LF,EC35,1,127.3,0,1200,1191,,45.510452,-122.630441,1,0,0,,81.9,0311,N846LF,0,5,1,0,0,0,,United States,0,0,1.9,,,,0315                          ,2003,INHS LEASING CO LLC                               ,PO BOX 469                       ,                                 ,SPOKANE           ,WA,992100469 ,S,US,https://tar1090.adsbexchange.com/?icao=AB9723&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-23
2020-07-24 14:44:37,1595627075057,AAF41F,N80470,C172,1,14.2,0,-100,89,,45.179505,-122.745689,0,0,0,,219.3,,,0,2,1,0,0,0,,United States,0,0,19.76,,,,17266604                      ,1976,CODDIWOMPLE LLC                                   ,24075 NE WILDWOOD RD             ,                                 ,NEWBERG           ,OR,971327333 ,S,US,https://tar1090.adsbexchange.com/?icao=AAF41F&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073067,A0B52E,N1449Q,C150,1,74.3,0,600,780,,45.631528,-122.638046,0,-256,0,,119,1200,N1449Q,0,3,1,0,0,0,,United States,0,0,7.74,,,,15072749                      ,1971,AERO MAINTENANCE INC                              ,101 E RESERVE ST                 ,                                 ,VANCOUVER         ,WA,986613872 ,S,US,https://tar1090.adsbexchange.com/?icao=A0B52E&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073527,ABC7A3,N8581Z,B738,2,218.8,0,5400,5600,15008,45.641257,-122.733215,0,2560,0,282.7,304.2,3505,SWA795,0,5,1,0,0,0,SWA,United States,0,0,8.53,KLAS McCarran Las Vegas United States,KPVD Theodore Francis Green State Providence United States,,64348                         ,2018,BANK OF UTAH TRUSTEE                              ,50 S 200 E STE 110               ,                                 ,SALT LAKE CITY    ,UT,841111617 ,S,US,https://tar1090.adsbexchange.com/?icao=ABC7A3&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627074902,A94DC8,N699SU,SU29,1,178,0,3300,3489,,45.212414,-122.677926,0,-585,0,,130,1200,N699SU,0,5,1,1,0,0,,United States,0,0,17.56,,,,79-04                         ,1995,HAMMERHEAD AEROBATICS                             ,31695 SW COUNTRY VIEW LN         ,                                 ,WILSONVILLE       ,OR,970709445 ,S,US,https://tar1090.adsbexchange.com/?icao=A94DC8&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627074278,AC6B22,N9GT,C208,1,104.8,0,4975,5164,,45.205994,-122.536748,0,1024,0,,82.9,0305,N9GT,0,2,1,0,0,0,,United States,0,0,18.87,,,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=AC6B22&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627075351,A0F4D6,N16058,C150,1,73.6,0,1000,1189,,45.438755,-122.93661,1,192,0,,306.7,1200,N16058,0,5,1,0,0,0,,United States,0,0,11.7,,,,15073448                      ,1972,TWIN OAKS AIRPARK INC                             ,12405 SW RIVER RD                ,                                 ,HILLSBORO         ,OR,971239314 ,S,US,https://tar1090.adsbexchange.com/?icao=A0F4D6&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073223,A8CA5E,N66589,C150,1,81.3,0,1000,1189,,45.433182,-122.953164,1,-64,0,,223.5,,N66589,0,3,1,0,0,0,,United States,0,0,12.47,,,,15076138                      ,1974,TWIN OAKS AIRPARK INC                             ,12405 SW RIVER RD                ,                                 ,HILLSBORO         ,OR,97123     ,S,US,https://tar1090.adsbexchange.com/?icao=A8CA5E&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073675,A6EA35,N54477,C172,1,81.6,0,2400,2589,,45.486331,-122.95396,1,320,0,,191.3,4647,N54477,0,5,1,0,0,0,,United States,0,0,11.79,,,,17274983                      ,1981,HILLSBORO AERO ACADEMY LLC                        ,3565 NE CORNELL RD               ,                                 ,HILLSBORO         ,OR,971246374 ,S,US,https://tar1090.adsbexchange.com/?icao=A6EA35&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627074449,A229B3,N2388L,C172,1,110.8,0,2875,3055,,45.808845,-122.896362,1,-64,0,,186.7,1200,N2388L,0,5,1,0,0,0,,United States,0,0,20.45,,,,17280723                      ,1999,VALLEY FLIERS INC                                 ,1402 AUBURN WAY N PMB 223        ,                                 ,AUBURN            ,WA,980023384 ,S,US,https://tar1090.adsbexchange.com/?icao=A229B3&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627074450,AB1171,N812GS,PC12,1,112.6,0,3325,3525,3488,45.719925,-122.686336,0,-64,0,317.8,340.3,0140,N812GS,0,5,1,0,0,0,,United States,0,0,12.9,,,,1086                          ,2008,FLIR SYSTEMS AVIATION LLC                         ,27700 SW PARKWAY AVE             ,                                 ,WILSONVILLE       ,OR,970708238 ,S,US,https://tar1090.adsbexchange.com/?icao=AB1171&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627074449,ACA21D,N913DB,S22T,1,177.1,0,8825,9025,8992,45.238358,-122.492981,0,0,0,,116.9,4746,N913DB,0,5,1,0,0,0,,United States,0,0,17.75,,,,0379                          ,2012,TJ AIR LLC                                        ,501 FOREST AVE APT 407           ,                                 ,PALO ALTO         ,CA,943012613 ,4,US,https://tar1090.adsbexchange.com/?icao=ACA21D&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073980,A23AB6,N24266,C152,1,75,0,3550,3739,,45.528305,-123.164978,1,384,0,,0,1200,N24266,0,5,1,0,0,0,,United States,0,0,20.65,,,,15280185                      ,1977,HILLSBORO AERO ACADEMY LLC                        ,3565 NE CORNELL RD               ,                                 ,HILLSBORO         ,OR,971246374 ,S,US,https://tar1090.adsbexchange.com/?icao=A23AB6&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073979,A2BAB6,N275SY,E75L,2,437.1,0,25175,25185,16000,45.481816,-123.266066,0,-2240,0,,181,4702,SKW4145,0,5,1,0,0,0,SKW,United States,0,0,24.9,KLGA La Guardia New York United States,KBHM Birmingham-Shuttlesworth Birmingham United States,,17000737                      ,2018,SKYWEST AIRLINES INC                              ,444 S RIVER RD                   ,                                 ,SAINT GEORGE      ,UT,847902085 ,S,US,https://tar1090.adsbexchange.com/?icao=A2BAB6&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073830,A050D5,N1196J,AA5,1,87.4,0,2300,2480,,45.245284,-123.105424,1,0,0,,15.9,1200,N1196J,0,5,1,0,0,0,,United States,0,0,23.92,,,,10112                         ,1992,SALEM PILOTS ASSOCIATION                          ,PO BOX 105                       ,                                 ,SALEM             ,OR,973080105 ,S,US,https://tar1090.adsbexchange.com/?icao=A050D5&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073830,A61649,N49109,C152,1,92,0,2575,2764,,45.456491,-123.108975,1,384,0,,226.8,1200,N49109,0,5,1,0,0,0,,United States,0,0,18.49,,,,15283422                      ,1979,HILLSBORO AERO ACADEMY LLC                        ,3565 NE CORNELL RD               ,                                 ,HILLSBORO         ,OR,971246374 ,S,US,https://tar1090.adsbexchange.com/?icao=A61649&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073678,A692C6,N5220T,P28A,1,67.7,0,1000,1189,,45.207157,-122.777442,0,-768,0,,8.5,,N5220T,0,2,1,0,0,0,,United States,0,0,18.39,,,,28-7225360                    ,1972,HAMMOND MIKE                                      ,7555 SW ONNAF CT                 ,                                 ,PORTLAND          ,OR,972247901 ,S,US,https://tar1090.adsbexchange.com/?icao=A692C6&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073527,AD33CA,N95RE,C180,1,44.4,0,0,189,,45.241513,-122.771078,1,-512,0,,7.8,1200,N95RE,0,5,1,0,0,0,,United States,0,0,16.32,,,,,,,,,,,,,,https://tar1090.adsbexchange.com/?icao=AD33CA&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073374,A07BFA,N130JA,C172,1,109.9,0,2800,2989,,45.336852,-122.988259,1,0,0,,211.2,0162,N130JA,0,5,1,0,0,0,,United States,0,0,16.61,,,,172S9165                      ,2002,HAGELE AVIATION LLC                               ,5863 NE WELLER CT                ,                                 ,HILLSBORO         ,OR,971247297 ,S,US,https://tar1090.adsbexchange.com/?icao=A07BFA&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073372,A1BD09,N2108Y,C172,1,78.6,0,500,689,,45.414413,-122.959704,1,-256,0,,101.7,,N2108Y,0,3,1,0,0,0,,United States,0,0,13.16,,,,17249608                      ,1962,TWIN OAKS AIRPARK INC                             ,12405 SW RIVER RD                ,                                 ,HILLSBORO         ,OR,971239314 ,S,US,https://tar1090.adsbexchange.com/?icao=A1BD09&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073371,A6308B,N49824,C152,1,47.2,0,250,439,,45.537585,-122.943644,1,-384,0,,323.6,1200,N49824,0,5,1,0,0,0,,United States,0,0,11.46,,,,15281342                      ,1978,HILLSBORO AERO ACADEMY LLC                        ,3565 NE CORNELL RD               ,                                 ,HILLSBORO         ,OR,971246374 ,S,US,https://tar1090.adsbexchange.com/?icao=A6308B&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073222,A572E5,N450JA,PA44,1,84.4,0,2875,3075,9696,45.362223,-123.161562,0,256,0,,166.3,1200,N450JA,0,5,1,0,0,0,,United States,0,0,22.21,,,,4496150                       ,2002,HILLSBORO AERO ACADEMY LLC                        ,3565 NE CORNELL RD               ,                                 ,HILLSBORO         ,OR,971246374 ,S,US,https://tar1090.adsbexchange.com/?icao=A572E5&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073219,A58A67,N456WN,B737,2,236.2,0,2850,3050,2496,45.458353,-122.360363,0,-512,0,0,18.5,6354,SWA1337,0,5,1,0,0,0,SWA,United States,0,0,13.53,KMCO Orlando United States,KPHX Phoenix Sky Harbor United States,,32463                         ,2004,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ-4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,US,https://tar1090.adsbexchange.com/?icao=A58A67&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627073069,A65E4E,N5094L,C152,1,83.1,0,1800,1980,,45.303707,-122.286876,1,704,0,,177.9,1200,N5094L,0,5,1,0,0,0,,United States,0,0,20.33,,,,15284260                      ,1980,GORGE WINDS AVIATION INC                          ,PO BOX 224                       ,                                 ,FAIRVIEW          ,OR,970240224 ,S,US,https://tar1090.adsbexchange.com/?icao=A65E4E&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627075351,A1AFD5,N208BA,C208,1,174.5,0,4725,4905,,45.699783,-122.437737,0,-448,0,,145,4754,BOE8BA,0,5,1,0,0,0,BOE,United States,0,0,15.35,,,,208B2027                      ,2008,BOEING CO                                         ,1901 OAKESDALE AVE SW            ,                                 ,RENTON            ,WA,980572623 ,S,US,https://tar1090.adsbexchange.com/?icao=A1AFD5&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627075061,AA7A61,N7741C,B737,2,247.6,0,5025,5225,2496,45.328985,-122.392787,1,-512,0,0,19.1,3362,SWA986,0,5,1,0,0,0,SWA,United States,0,0,15.9,KFLL Fort Lauderdale Hollywood United States,KMSP Minneapolis-St Paul InternationalWold-Chamberlain Minneapolis United States,,35788                         ,2007,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DRIVE #HDQ 4GC   ,                                 ,DALLAS            ,TX,752351908 ,2,US,https://tar1090.adsbexchange.com/?icao=AA7A61&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627074900,A423DC,N366PA,G2CA,1,79.6,0,950,1130,,45.230434,-122.99603,1,640,0,,14.6,1200,N366PA,0,5,1,0,0,0,,United States,0,0,21.32,,,,1264                          ,2020,AIRCRAFT GUARANTY CORP TRUSTEE                    ,928 SW 107TH ST                  ,                                 ,OKLAHOMA CITY     ,OK,731705244 ,2,US,https://tar1090.adsbexchange.com/?icao=A423DC&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627074898,A66C1C,N5126W,P28A,1,90.7,0,1500,1689,,45.509933,-122.605345,1,128,0,,14,0253,N5126W,0,5,1,0,0,0,,United States,0,0,2.94,,,,28-152                        ,    ,HARRIS ELIZABETH M                                ,5208 DUBOIS DR                   ,                                 ,VANCOUVER         ,WA,986616617 ,S,US,https://tar1090.adsbexchange.com/?icao=A66C1C&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
2020-07-24 14:44:37,1595627074754,A61AF2,N49276,C152,1,78.9,0,2875,3064,,45.637482,-123.147829,1,0,0,,320.7,1200,N49276,0,5,1,0,0,0,,United States,0,0,21.39,,,,15281217                      ,1977,HILLSBORO AERO ACADEMY LLC                        ,3565 NE CORNELL RD               ,                                 ,HILLSBORO         ,OR,971246374 ,S,US,https://tar1090.adsbexchange.com/?icao=A61AF2&lat=45.409&lon=-122.898&zoom=9.0&showTrace=2020-07-24
